asset,delta_mc,delta_mc_standard_error,z0_bsde_mean,delta_bsde_mean,delta_bsde_sd,delta_bsde_sem,difference_bsde_minus_mc
76,0.009937905367122468,2.1475239596885323e-06,0.1883299152056376,0.009416495760281881,0.00016602604213010157,9.58551801163023e-05,-0.0005214096068405869
77,0.009937524786238328,2.148079574484402e-06,0.16674833496411642,0.008337416748205822,0.00047121551294234017,0.0002720564032435877,-0.0016001080380325054
78,0.009936805159164397,2.145680841473002e-06,0.21393800775210062,0.010696900387605032,0.000681088706122566,0.0003932267478218774,0.000760095228440635
79,0.009934671071427204,2.143846978710444e-06,0.19791549444198608,0.009895774722099304,0.0005488248454505534,0.00031686417225883175,-3.889634932790001e-05
80,0.009935948272999262,2.1462679338997613e-06,0.20401892066001892,0.010200946033000945,0.0011863678359076463,0.0006849497894191934,0.00026499776000168257
81,0.009935644781207564,2.1452825613842173e-06,0.1923866073290507,0.009619330366452536,0.0015227517071381555,0.0008791611080251763,-0.00031631441475502876
82,0.009936023818072126,2.1478367127527935e-06,0.20273544390996298,0.010136772195498148,0.0006379179811849467,0.0003683021181580316,0.00020074837742602158
83,0.009933437750696328,2.1432379144130126e-06,0.1968553215265274,0.00984276607632637,0.0008107253296991373,0.0004680724873406451,-9.067167436995795e-05
84,0.009938547748769455,2.1464659268523197e-06,0.19838700691858926,0.009919350345929464,0.001410521748373584,0.0008143651111213104,-1.9197402839990843e-05
85,0.009935810949328161,2.14915099752023e-06,0.19643383721510568,0.009821691860755285,0.0017307631381905842,0.0009992565637378153,-0.0001141190885728758
86,0.009937592087901237,2.144088659623218e-06,0.1965780258178711,0.009828901290893555,0.0012948219072760985,0.0007475657767184802,-0.0001086907970076819
87,0.009933971568123479,2.1437388486773716e-06,0.19775455196698508,0.009887727598349253,0.0003079043673222842,0.0001777686693581822,-4.624396977422583e-05
88,0.009933798101331881,2.1444867189405507e-06,0.21004126965999603,0.0105020634829998,0.0014070862196223488,0.000812381607671976,0.0005682653816679196
89,0.009936101460851443,2.145635697739149e-06,0.19567684332529703,0.009783842166264852,0.0006274380320476873,0.00036225151670254133,-0.0001522592945865913
90,0.009933388109087726,2.144312197337338e-06,0.19183549284934998,0.009591774642467498,0.001281478141594347,0.0007398617500101177,-0.00034161346662022786
91,0.009937060565594624,2.145901718921056e-06,0.18874635299046835,0.009437317649523417,0.0013599599022517854,0.0007851732156521655,-0.0004997429160712077
92,0.009935171144509702,2.1430721119723693e-06,0.20177215337753296,0.010088607668876648,0.0013197964151942078,0.000761984815587879,0.00015343652436694555
93,0.00993587996675993,2.1425297576464247e-06,0.1997842788696289,0.009989213943481444,0.0007586911455544084,0.0004380305371176233,5.333397672151359e-05
94,0.009934019856773446,2.144457074085593e-06,0.2029136667648951,0.010145683338244756,0.0005663099476525766,0.000326959200721978,0.00021166348147130983
95,0.009935638742331054,2.1485118003257116e-06,0.18539917469024658,0.00926995873451233,0.0011088033820270675,0.0006401679310916949,-0.0006656800078187249
96,0.009934947240582304,2.145423110008088e-06,0.19722100098927817,0.009861050049463908,0.0015833988215192738,0.000914175735838689,-7.389719111839527e-05
97,0.009933470802848898,2.1448517756098142e-06,0.1676288644472758,0.00838144322236379,0.0011620606162487178,0.0006709160096058596,-0.0015520275804851089
98,0.009935849246601958,2.1465245775071726e-06,0.20244809488455454,0.010122404744227728,0.0006814265513741023,0.0003934218028687963,0.00018655549762577016
99,0.00993769831870539,2.1484530758397764e-06,0.21648874878883362,0.010824437439441682,0.001284922806857433,0.0007418505284270285,0.0008867391207362917
100,0.00993415921689289,2.1454839583688605e-06,0.2006767988204956,0.01003383994102478,0.0008446079046131133,0.00048763460108806677,9.968072413188943e-05
