N,dtype,Y0,rel_error_pct,elapsed_time_s
25,float32,2.97477,0.0964429614431182,89.0
25,float64,2.97465,0.09407608187066967,139.0
50,float32,2.97111,0.02671041889851544,213.0
50,float64,2.9704,0.048932279902290786,262.0
100,float32,2.95527,0.5597020977541058,411.0
100,float64,2.95479,0.5741935804378205,544.0
