rho,n,ground_truth,y0_mean,y0_sd,relative_error_mean_pct,relative_error_sd_pct,settling_step_mean,settling_step_sd,num_not_settled,trigger_error_threshold_pct,trigger_settling_threshold,trigger_rule_met
0.0,3,4.8814205199808915,4.8808766666666665,0.0022990940244656424,0.03216631963045794,0.029197400391329828,2833.3333333333335,1415.3915830374765,0,0.35,4000.0,False
0.3,3,7.181017117673521,7.18291,0.0027455236294738937,0.038215952752318816,0.01770075190904184,1558.3333333333333,289.75564417856185,0,0.35,4000.0,False
0.5,3,8.303880453607585,8.30603,0.0030903559665518914,0.0342391987299193,0.025132910603766823,1600.0,225.0,0,0.35,4000.0,False
