problem,seed,name,analytic_price,final_y0,final_loss,absolute_error,relative_error_pct,elapsed_time_s
100D,1001,100D Geometric Basket,2.9718541960134814,2.97874,2.63092,0.006885803986518724,0.2317005994357163,124.0
100D,1002,100D Geometric Basket,2.9718541960134814,2.95529,2.67821,0.016564196013481247,0.5573690672880544,116.0
100D,1003,100D Geometric Basket,2.9718541960134814,2.97553,2.64306,0.0036758039865185665,0.12368722501424803,109.0
100D,1004,100D Geometric Basket,2.9718541960134814,2.97283,2.63793,0.0009758039865186419,0.03283485400554339,110.0
100D,1005,100D Geometric Basket,2.9718541960134814,2.9771,2.43041,0.005245803986518638,0.17651619630449866,116.0
100D,1006,100D Geometric Basket,2.9718541960134814,2.96526,2.78534,0.006594196013481657,0.22188827508184197,116.0
100D,1007,100D Geometric Basket,2.9718541960134814,2.98086,2.37602,0.009005803986518401,0.30303653519069035,109.0
100D,1008,100D Geometric Basket,2.9718541960134814,2.96314,2.85695,0.008714196013481335,0.29322421083681605,114.0
