batch_size,n,first_hit_step_mean,first_hit_step_sd,settling_step_mean,settling_step_sd,num_not_settled
64,3,733.3333333333334,554.714641354754,5650.0,141.4213562373095,1
128,3,758.3333333333334,537.5484474290047,4658.333333333333,688.4463184107627,0
256,3,750.0,572.82196186948,3566.6666666666665,1972.6779598640355,0
512,3,766.6666666666666,568.0742322384755,2458.3333333333335,1335.1810114487598,0
64_long,3,733.3333333333334,554.714641354754,11583.333333333334,112.73124382057235,0
