label,batch_size,max_iterations,num_runs,analytic_price,mean_y0,std_y0,mean_relative_error_pct,std_relative_error_pct,mean_first_step_rel_error_lt_0_5_pct,std_first_step_rel_error_lt_0_5_pct,mean_elapsed_time_s,std_elapsed_time_s
64,64,6000,3,2.9718541960134814,2.966226666666667,0.013423119359274552,0.284287208308289,0.3695506768837872,733.3333333333334,554.714641354754,153.33333333333334,2.5166114784235836
128,128,6000,3,2.9718541960134814,2.9754233333333335,0.005034782352131223,0.15002759337319665,0.12874196804956953,758.3333333333334,537.5484474290047,192.0,1.7320508075688772
256,256,6000,3,2.9718541960134814,2.9690433333333335,0.002445594678873362,0.09458279224864637,0.08229187966737882,750.0,572.82196186948,2366.6666666666665,3526.072224633712
512,512,6000,3,2.9718541960134814,2.9690399999999997,0.001351924554107753,0.09469495566964552,0.045490944876140214,766.6666666666666,568.0742322384755,4244.0,3805.634901038196
64_long,64,12000,3,2.9718541960134814,2.9760233333333335,0.005994333435281417,0.19175238598460728,0.12268522970370109,733.3333333333334,554.714641354754,221.0,7.810249675906654
